,flux,lam
240,1.6494748521363365e-16,412.1
241,1.649010232416913e-16,412.15
242,1.6485460916301238e-16,412.2
243,1.6480824537575245e-16,412.25
244,1.647619311930612e-16,412.3
245,1.6471566597465425e-16,412.35
246,1.6466945199063046e-16,412.4
247,1.6462328736670317e-16,412.45
248,1.6457717367447914e-16,412.5
249,1.6453111163573341e-16,412.55
250,1.6448510027257728e-16,412.6
251,1.6443913952680307e-16,412.65
252,1.6439323173835874e-16,412.7
253,1.6434737506788225e-16,412.75
254,1.6430157070280985e-16,412.8
255,1.6425581900402906e-16,412.85
256,1.642101189005189e-16,412.9
257,1.6416447269730271e-16,412.95
258,1.6411887910217048e-16,413.0
259,1.6407333896495403e-16,413.05
260,1.6402785176178443e-16,413.1
261,1.639824191457592e-16,413.15
262,1.6393703997600825e-16,413.2
263,1.6389171498594807e-16,413.25
264,1.6384644506033513e-16,413.3
265,1.6380122903501618e-16,413.35
266,1.6375606860965493e-16,413.4
267,1.637109624920413e-16,413.45
268,1.6366591182304547e-16,413.5
269,1.6362091716146098e-16,413.55
270,1.6357597745954992e-16,413.6
271,1.6353109400952236e-16,413.65
272,1.6348626584513114e-16,413.7
273,1.6344149487558754e-16,413.75
274,1.6339677985524761e-16,413.8
275,1.6335212136618796e-16,413.85
276,1.63307520467788e-16,413.9
277,1.6326297679916024e-16,413.95
278,1.6321848942898214e-16,414.0
279,1.631740594864823e-16,414.05
280,1.63129687611945e-16,414.1
281,1.630853735259734e-16,414.15
282,1.630411171820015e-16,414.2
283,1.6299691940657798e-16,414.25
284,1.6295277922181412e-16,414.3
285,1.6290869732620197e-16,414.35
286,1.6286467557074503e-16,414.4
287,1.6282071123132482e-16,414.45
288,1.6277680643834176e-16,414.5
289,1.627329599694349e-16,414.55
290,1.626891737454571e-16,414.6
291,1.626454473938793e-16,414.65
292,1.6260177902877333e-16,414.7
293,1.6255817122291775e-16,414.75
294,1.6251462441869082e-16,414.8
295,1.624711360782385e-16,414.85
296,1.6242770910030234e-16,414.9
297,1.6238434218103067e-16,414.95
298,1.6234103507595138e-16,415.0
299,1.6317592749065258e-16,415.05
300,1.6315739800250674e-16,415.1
301,1.6313891305255727e-16,415.15
302,1.6312046044233866e-16,415.2
303,1.63102050708564e-16,415.25
304,1.6308366031608104e-16,415.3
305,1.6306529381665159e-16,415.35
306,1.6304695653838259e-16,415.4
307,1.630286620912315e-16,415.45
308,1.6301038700048232e-16,415.5
309,1.6299213743684125e-16,415.55
310,1.6297393019604978e-16,415.6
311,1.6295578630812897e-16,415.65
312,1.629376649430285e-16,415.7
313,1.6291956744076396e-16,415.75
314,1.6290149925032218e-16,415.8
315,1.6288347545705858e-16,415.85
316,1.6286548414455524e-16,415.9
317,1.6284753554984606e-16,415.95
318,1.6282960634931736e-16,416.0
319,1.6281169932720427e-16,416.05
320,1.6279380856559433e-16,416.1
321,1.627759433008739e-16,416.15
322,1.6275812057056157e-16,416.2
323,1.627403609815693e-16,416.25
324,1.62722623945623e-16,416.3
325,1.6270491072718117e-16,416.35
326,1.6268722695657065e-16,416.4
327,1.62669587462248e-16,416.45
328,1.6265198056958526e-16,416.5
329,1.6263441625871155e-16,416.55
330,1.626168713873581e-16,416.6
331,1.625993503108411e-16,416.65
332,1.6258185875016646e-16,416.7
333,1.625644114053285e-16,416.75
334,1.6254699672260647e-16,416.8
335,1.6252790228193151e-16,416.85
336,1.6249528994534568e-16,416.9
337,1.6244181001766159e-16,416.95
338,1.6238517949676664e-16,417.0
339,1.6232861858274398e-16,417.05
340,1.6227213324303201e-16,417.1
341,1.6221574810457353e-16,417.15
342,1.6215936527571825e-16,417.2
343,1.6210297223301653e-16,417.25
344,1.6204665570190743e-16,417.3
345,1.6199046637204557e-16,417.35
346,1.6193433554211718e-16,417.4
347,1.618782691272325e-16,417.45
348,1.6182223862139876e-16,417.5
