,flux,lam
281,9.510681639542799e-17,412.65999999999997
282,9.565699495154124e-17,412.7049999999999
283,9.621422534637942e-17,412.75
284,9.677300753914375e-17,412.79499999999996
285,9.733987584031143e-17,412.84
286,9.79089064102984e-17,412.88499999999993
287,9.848324385774506e-17,412.92999999999995
288,9.906046547772533e-17,412.975
289,9.938918790696503e-17,413.02
290,9.941008088885246e-17,413.06499999999994
291,9.943014171442966e-17,413.10999999999996
292,9.945027695969036e-17,413.1549999999999
293,9.947041895845535e-17,413.2
294,9.949057689024504e-17,413.245
295,9.951074239513911e-17,413.28999999999996
296,9.953099720365321e-17,413.3349999999999
297,9.955128541906489e-17,413.37999999999994
298,9.957163231783928e-17,413.425
299,9.959202658949583e-17,413.46999999999997
300,9.961243561395305e-17,413.515
301,9.963287178356354e-17,413.55999999999995
302,9.965332837760694e-17,413.6049999999999
303,9.967386332541398e-17,413.65
304,9.969441112454956e-17,413.695
305,9.971500593594333e-17,413.73999999999995
306,9.973561382815368e-17,413.78499999999997
307,9.975627601067051e-17,413.8299999999999
308,9.977696769878878e-17,413.875
309,9.979769728521271e-17,413.91999999999996
310,9.981847381832681e-17,413.965
311,9.983927264456192e-17,414.00999999999993
312,9.986013100654378e-17,414.05499999999995
313,9.988100326894234e-17,414.1
314,9.990193926343975e-17,414.145
315,9.992288751915374e-17,414.18999999999994
316,9.994386554274107e-17,414.23499999999996
317,9.996485484402496e-17,414.2799999999999
318,9.99859145653441e-17,414.325
319,1.000070311341218e-16,414.37
320,1.0002817720850089e-16,414.41499999999996
321,1.0004937757318645e-16,414.4599999999999
322,1.000705870518244e-16,414.50499999999994
323,1.0009182787196788e-16,414.55
324,1.0011307833060775e-16,414.59499999999997
325,1.0013439147225848e-16,414.64
326,1.00155722251702e-16,414.68499999999995
327,1.0017713446660532e-16,414.7299999999999
328,1.001985909399107e-16,414.775
329,1.0022006636236887e-16,414.82
330,1.0024156525817214e-16,414.86499999999995
331,1.0026308084103217e-16,414.90999999999997
332,1.0028464107570227e-16,414.9549999999999
333,1.0030222582399786e-16,415.0
334,1.0029594290124532e-16,415.04499999999996
335,1.0028568203331813e-16,415.09
336,1.0027542116539091e-16,415.13499999999993
337,1.002651603630317e-16,415.17999999999995
338,1.0025492303401758e-16,415.225
339,1.0024470465415635e-16,415.27
340,1.0023450102709576e-16,415.31499999999994
341,1.0022432454518842e-16,415.35999999999996
342,1.0021415262025736e-16,415.4049999999999
343,1.0020399636607892e-16,415.45
344,1.0019384493114874e-16,415.495
345,1.0018372483772402e-16,415.53999999999996
346,1.0017361297308364e-16,415.5849999999999
347,1.0016351468101993e-16,415.62999999999994
348,1.0015342376535651e-16,415.675
349,1.0014336127342244e-16,415.71999999999997
350,1.0013333399150595e-16,415.765
351,1.0012331234843774e-16,415.80999999999995
352,1.001133055893062e-16,415.8549999999999
353,1.0010330496078295e-16,415.9
354,1.0009333619830916e-16,415.945
355,1.0008337438604367e-16,415.98999999999995
356,1.000734423416516e-16,416.03499999999997
357,1.0006352141103601e-16,416.0799999999999
358,1.0005361221709292e-16,416.125
359,1.000437124977263e-16,416.16999999999996
360,1.0003382015476004e-16,416.215
361,1.0002394138437037e-16,416.25999999999993
362,1.0001407480962928e-16,416.30499999999995
363,1.0000425524714635e-16,416.35
364,9.99944421103277e-17,416.395
365,9.99846446442618e-17,416.43999999999994
366,9.997485173517208e-17,416.48499999999996
367,9.996508597123563e-17,416.5299999999999
368,9.99553349600998e-17,416.575
369,9.994560289811689e-17,416.62
370,9.993589430947905e-17,416.66499999999996
371,9.992619132690548e-17,416.7099999999999
372,9.991650322826855e-17,416.75499999999994
373,9.990682126023997e-17,416.8
374,9.989717115826077e-17,416.84499999999997
375,9.988752800648996e-17,416.89
376,9.987791462259253e-17,416.93499999999995
377,9.986827878165399e-17,416.9799999999999
378,9.984663632470811e-17,417.025
379,9.981530137606916e-17,417.07
