name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
SJUSHR840,10.259,16.2694,9.68818,0.00369258,11.7597,0.0650482
SJUSHR8400,10.6504,1.00E+33,0,0,15.022,0.390064
SJUSHR8401,0,0,0,0,0,0
SJUSHR8402,11.0172,0.24854,10.1955,0.252245,11.0854,0.0189543
SJUSHR8403,12.9796,1.71408,11.786,0.303363,13.3922,0.0664062
SJUSHR8404,13.594,1.00E+33,11.9816,0.392564,13.9195,0.146223
SJUSHR8405,12.5622,2.26099,12.2793,0.143961,12.9789,0.0366993
SJUSHR8406,0,0,0,0,0,0
SJUSHR8407,12.2898,0.865598,11.6228,0.110662,12.5011,0.0539141
SJUSHR8408,0,0,0,0,#NAME?,NaN
SJUSHR8409,12.2672,0.765726,11.3467,0.163564,12.4818,0.0391226
SJUSHR841,11.1477,1.00E+33,10.2671,0.022341,11.1485,0.0232134
SJUSHR8410,0,0,0,0,0,0
SJUSHR8411,12.2742,0.729591,10.9522,0.0334631,12.5867,0.0328169
SJUSHR8412,0,0,0,0,13.5467,0.128199
SJUSHR8413,11.6071,5.99518,0,0,12.9731,0.0771265
SJUSHR8414,11.3301,0.4614,10.2418,0.124735,11.7457,0.0153971
SJUSHR8415,11.9861,0.801304,10.8412,0.0106196,12.2286,0.0549908
SJUSHR8416,0,0,0,0,#NAME?,NaN
SJUSHR8417,11.9411,5.84515,12.013,0.592445,13.1538,0.0645342
SJUSHR8418,0,0,0,0,#NAME?,NaN
SJUSHR8419,0,0,0,0,14.6092,0.374274
SJUSHR842,5.88858,0.0422279,6.00956,0.0535887,5.99366,0.000505447
SJUSHR8420,14.4099,1.00E+33,0,0,15.31,0.613688
SJUSHR8421,0,0,0,0,14.1146,0.357022
