agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,False,False,False,False,ECO07091,True,False
False,False,False,True,False,True,False,ECO07102,True,False
False,False,False,False,False,False,False,ECO07175,True,True
False,False,False,False,False,False,False,ECO07177,True,True
False,False,False,False,False,False,False,ECO07181,True,True
False,False,True,False,False,False,False,ECO07243,True,False
False,False,False,False,False,False,False,ECO07290,True,True
False,False,False,False,False,False,False,ECO07397,True,False
False,False,True,False,False,False,False,ECO07399,True,False
False,False,False,True,False,True,False,ECO07405,False,False
False,False,False,False,False,False,False,ECO07502,True,False
False,False,False,False,False,False,False,ECO07506,True,False
False,False,False,True,True,False,False,ECO07514,True,False
False,False,False,False,False,False,False,ECO07544,True,False
False,False,False,False,False,False,False,ECO07553,True,False
False,False,False,False,False,False,False,ECO07577,True,False
False,False,False,False,False,False,False,ECO07579,True,False
False,False,False,False,False,False,False,ECO07583,True,False
False,False,True,False,False,False,False,ECO07635,True,False
False,False,True,False,False,False,False,ECO07651,True,False
False,False,False,False,False,False,False,ECO07659,True,False
False,False,False,False,False,False,False,ECO07677,True,False
False,False,False,True,False,True,False,ECO07699,True,False
False,False,True,False,False,False,False,ECO07704,True,False
False,False,True,False,False,False,False,ECO07723,True,False
False,False,False,False,False,False,False,ECO07769,True,False
False,False,False,True,True,False,False,ECO07780,True,False
True,False,False,False,False,False,False,ECO07802,True,False
False,False,False,False,False,False,False,ECO07820,True,False
False,False,False,False,False,False,False,ECO07827,True,False
False,False,False,False,False,False,False,ECO07863,True,False
False,False,False,False,False,False,False,ECO07867,True,False
False,False,False,False,False,False,False,ECO07941,True,False
False,False,False,True,False,True,False,ECO07958,True,False
False,False,False,False,False,False,True,ECO07966,False,False
False,False,False,False,False,False,False,ECO07967,True,False
False,False,False,False,False,False,True,ECO07977,False,False
False,False,True,False,False,False,False,ECO07996,True,False
False,False,False,False,False,False,False,ECO08022,True,False
False,False,False,True,False,True,False,ECO08137,True,False
False,False,False,False,False,False,False,ECO08142,True,False
False,False,False,False,False,False,False,ECO08173,True,False
False,False,False,False,False,False,False,ECO08175,True,True
False,True,False,True,False,False,False,ECO08257,True,False
False,False,False,True,False,True,False,ECO08266,True,False
False,False,True,False,False,False,False,ECO08317,True,False
False,False,False,False,False,False,False,ECO08328,True,False
False,False,False,True,False,True,False,ECO08368,False,False
False,False,False,False,False,False,False,ECO08379,True,False
False,True,False,True,False,False,False,ECO08381,True,False
False,False,False,False,False,False,False,ECO08401,True,False
False,False,False,True,False,True,False,ECO08456,True,False
False,False,True,False,False,False,False,ECO08482,True,False
False,False,False,False,False,False,False,ECO08526,True,False
False,False,False,False,False,False,False,ECO08531,True,False
False,False,False,False,False,False,False,ECO08532,True,False
False,False,True,False,False,False,False,ECO08561,True,False
False,False,False,False,False,False,False,ECO08605,True,False
False,False,True,False,False,False,False,ECO08632,True,False
False,False,False,False,False,False,False,ECO08653,True,False
False,False,False,True,False,True,False,ECO08675,True,False
False,False,False,True,False,True,False,ECO08678,True,False
False,False,True,False,False,False,False,ECO08749,True,False
False,False,False,False,False,False,False,ECO08759,True,False
False,False,False,False,False,False,False,ECO08788,True,False
False,False,False,False,False,False,False,ECO08799,True,False
False,False,False,True,False,True,False,ECO08851,True,False
False,False,False,True,False,True,False,ECO08863,True,False
False,False,False,False,False,False,False,ECO08877,True,False
False,False,False,True,False,True,False,ECO08881,True,False
False,False,False,False,False,False,False,ECO08912,True,False
False,False,False,False,False,False,False,ECO08922,True,False
False,False,False,False,False,False,False,ECO08930,True,False
False,False,False,False,False,False,False,ECO08937,True,False
False,False,False,False,False,False,False,ECO09028,True,False
False,False,False,False,False,False,False,ECO09050,True,False
False,False,True,False,False,False,False,ECO09087,True,False
False,False,False,False,False,False,False,ECO09092,True,False
False,False,False,False,False,False,False,ECO09123,True,False
False,False,False,False,False,False,False,ECO09177,True,False
False,False,False,False,False,False,False,ECO09202,True,False
False,False,False,True,False,True,False,ECO09219,True,False
False,False,False,True,False,True,False,ECO09220,False,False
False,False,True,False,False,False,False,ECO09244,True,False
False,False,False,True,False,True,False,ECO09260,False,False
False,False,False,True,True,False,False,ECO09261,True,False
False,False,False,False,False,False,False,ECO09262,True,False
False,False,False,False,False,False,False,ECO09265,True,False
False,False,False,False,False,False,False,ECO09292,True,False
False,False,False,False,False,False,False,ECO09331,True,False
False,False,False,False,False,False,False,ECO09332,True,False
False,False,True,False,False,False,False,ECO09358,False,False
False,False,True,False,False,False,False,ECO09416,True,False
False,False,True,False,False,False,False,ECO09489,True,False
False,False,False,False,False,False,False,ECO09507,True,False
False,False,False,False,False,False,False,ECO09525,True,True
False,False,False,False,False,False,False,ECO09530,True,False
False,False,False,False,False,False,False,ECO09617,True,False
False,False,False,False,False,False,False,ECO09628,True,False
False,False,False,False,False,False,False,ECO09651,True,False
False,False,False,False,False,False,False,ECO09675,True,True
False,False,False,False,False,False,False,ECO09687,True,False
False,False,False,True,False,True,False,ECO09690,True,False
False,False,False,False,False,False,False,ECO09732,True,False
False,True,False,True,False,False,False,ECO09736,True,False
False,False,False,False,False,False,False,ECO09743,True,True
False,False,False,False,False,False,False,ECO09751,True,False
False,False,True,False,False,False,False,ECO09792,True,False
False,False,False,False,False,False,False,ECO09897,True,False
False,False,False,False,False,False,False,ECO09898,True,False
False,False,False,False,False,False,False,ECO09959,True,False
False,False,False,False,False,False,True,ECO09962,False,False
False,False,True,False,False,False,False,ECO09979,True,False
False,True,False,True,False,False,False,ECO10047,True,False
False,False,False,False,False,False,False,ECO10092,True,False
False,False,True,False,False,False,False,ECO10096,True,False
False,False,False,False,False,False,False,ECO10098,True,False
False,False,False,False,False,False,False,ECO10111,True,False
False,False,False,False,False,False,False,ECO10177,True,False
False,False,False,False,False,False,False,ECO10196,True,False
False,False,False,False,False,False,False,ECO10204,True,False
False,False,False,True,False,True,False,ECO10227,False,False
False,False,False,False,False,False,False,ECO10232,True,False
False,False,False,True,False,True,False,ECO10271,True,False
False,False,False,False,False,False,False,ECO10280,True,False
False,False,True,False,False,False,False,ECO10298,True,False
False,False,True,False,False,False,False,ECO10350,True,False
False,False,False,False,False,False,False,ECO10394,True,False
False,False,False,False,False,False,False,ECO10413,True,False
False,False,False,False,False,False,False,ECO10428,True,False
False,False,False,False,False,False,True,ECO10472,False,False
False,False,False,False,False,False,False,ECO10493,True,False
False,False,False,False,False,False,False,ECO10495,True,False
False,False,False,False,False,False,False,ECO10533,True,True
False,False,False,False,False,False,False,ECO10534,True,False
False,False,True,False,False,False,False,ECO10546,True,False
False,False,False,False,False,False,False,ECO10563,True,False
False,False,True,False,False,False,False,ECO10583,True,False
False,False,False,False,False,False,False,ECO10618,True,False
False,False,False,False,False,False,False,ECO10624,True,False
False,False,False,False,False,False,False,ECO10649,True,False
False,False,False,True,False,True,False,ECO10650,True,False
False,False,False,False,False,False,False,ECO10654,True,False
False,False,False,False,False,False,False,ECO10656,True,False
False,True,False,True,False,False,False,ECO10700,True,False
False,False,True,False,False,False,False,ECO10787,True,False
False,False,False,True,False,True,False,ECO10904,True,False
False,False,False,True,False,True,False,ECO10907,True,False
False,False,False,True,True,False,False,ECO10962,True,False
False,False,False,False,False,False,False,ECO10990,True,False
False,False,True,False,False,False,False,ECO11014,True,False
False,False,False,True,False,True,False,ECO11015,True,False
False,False,False,False,False,False,False,ECO11031,True,False
False,False,False,False,False,False,False,ECO11048,True,False
False,False,False,False,False,False,False,ECO11060,True,False
True,False,False,False,False,False,False,ECO11070,True,False
False,False,False,True,False,True,False,ECO11081,True,False
False,False,False,False,False,False,False,ECO11171,True,False
False,False,False,False,False,False,False,ECO11224,True,False
False,False,False,False,False,False,False,ECO11287,True,False
False,False,False,False,False,False,False,ECO11288,True,False
False,False,False,False,False,False,False,ECO11318,True,False
False,False,False,False,False,False,False,ECO11325,True,True
False,False,False,False,False,False,False,ECO11463,True,False
False,False,True,False,False,False,False,ECO11488,True,False
False,False,False,False,False,False,False,ECO11492,True,False
False,False,False,True,False,True,False,ECO11504,True,False
False,False,False,True,False,True,False,ECO11516,True,False
False,False,False,True,False,True,False,ECO11529,True,False
False,False,False,True,False,True,False,ECO11550,True,False
False,False,True,False,False,False,False,ECO11628,True,False
False,False,False,False,False,False,False,ECO11670,True,False
False,False,False,False,False,False,False,ECO11685,True,False
False,False,False,True,False,True,False,ECO11690,False,False
False,False,True,False,False,False,False,ECO11693,True,False
False,False,False,False,False,False,False,ECO11695,True,False
False,False,False,False,False,False,False,ECO11738,True,False
False,False,False,False,False,False,False,ECO11743,True,False
False,False,False,False,False,False,False,ECO11756,True,False
False,False,False,False,False,False,False,ECO11764,True,False
False,False,False,False,False,False,False,ECO11835,True,False
False,False,False,False,False,False,False,ECO11840,True,False
False,False,False,False,False,False,False,ECO11860,True,False
False,False,False,False,False,False,False,ECO11885,True,False
False,False,False,True,False,True,False,ECO11977,False,False
False,False,False,False,False,False,False,ECO11983,True,False
False,False,False,False,False,False,False,ECO11984,True,False
False,False,True,False,False,False,False,ECO12002,True,False
False,True,False,True,False,False,False,ECO12033,True,False
False,False,True,False,False,False,False,ECO12081,True,False
False,False,False,True,False,True,False,ECO12124,True,False
False,False,False,False,False,False,False,ECO12129,True,False
False,False,True,False,False,False,False,ECO12144,True,False
False,False,False,False,False,False,False,ECO12199,True,False
False,False,False,False,False,False,False,ECO12201,True,False
False,False,True,False,False,False,False,ECO12207,True,False
False,False,False,False,False,False,False,ECO12218,True,False
False,False,False,False,False,False,False,ECO12273,True,False
False,False,True,False,False,False,False,ECO12277,True,False
False,False,False,False,False,False,False,ECO12285,True,False
False,False,False,False,False,False,False,ECO12336,True,False
False,False,False,True,True,False,False,ECO12367,False,False
False,False,False,False,False,False,False,ECO12372,True,False
False,False,False,True,False,True,False,ECO12402,True,False
False,False,False,False,False,False,False,ECO12411,True,True
False,False,False,False,False,False,True,ECO12444,False,False
False,False,False,False,False,False,False,ECO12471,True,False
False,False,True,False,False,False,False,ECO12551,True,False
False,False,False,True,False,True,False,ECO12572,False,False
False,False,False,True,True,False,False,ECO12579,True,False
False,False,False,False,False,False,False,ECO12601,True,False
False,False,False,False,False,False,False,ECO12632,True,False
False,False,False,False,False,False,False,ECO12635,True,False
False,False,True,False,False,False,False,ECO12644,True,False
False,False,False,False,False,False,False,ECO12647,True,False
False,False,False,False,False,False,True,ECO12648,False,False
False,False,False,False,False,False,False,ECO12655,True,True
False,False,True,False,False,False,False,ECO13039,True,False
False,False,False,False,False,False,False,ECO13054,True,False
False,False,False,False,False,False,True,ECO13112,False,False
False,False,False,False,False,False,False,ECO13169,True,True
False,False,False,False,False,False,False,ECO13270,True,False
False,False,False,False,False,False,False,ECO13377,True,True
False,False,False,False,False,False,False,ECO13581,True,False
False,False,False,False,False,False,False,ECO13598,True,False
False,False,False,True,True,False,False,ECO13749,True,False
