composite,defagn,defstarform,galname
False,False,True,ECO00426
False,False,True,ECO00427
False,False,True,ECO00428
False,False,True,ECO00429
False,False,True,ECO00430
False,False,True,ECO00431
False,False,True,ECO00432
False,False,True,ECO00433
False,False,True,ECO00434
False,False,True,ECO00435
False,False,True,ECO00438
False,False,True,ECO00443
False,False,True,ECO00446
False,False,True,ECO00447
False,False,True,ECO00448
False,False,True,ECO00449
False,False,True,ECO00451
False,False,True,ECO00452
False,False,True,ECO00453
False,False,True,ECO00454
False,False,True,ECO00456
False,False,True,ECO00457
False,False,True,ECO00461
False,False,True,ECO00462
False,False,True,ECO00463
False,False,True,ECO00464
False,False,True,ECO00465
False,False,True,ECO00466
False,False,True,ECO00467
False,False,True,ECO00468
False,False,True,ECO00469
False,False,True,ECO00470
False,False,True,ECO00471
False,False,True,ECO00472
False,False,True,ECO00473
False,False,True,ECO00475
False,False,True,ECO00476
False,False,True,ECO00477
False,False,True,ECO00478
False,False,True,ECO00479
False,False,True,ECO00480
False,False,True,ECO00481
False,False,True,ECO00482
False,False,True,ECO00483
False,False,True,ECO00484
False,False,True,ECO00485
False,False,True,ECO00486
False,False,True,ECO00487
False,False,True,ECO00488
False,False,True,ECO00489
False,False,True,ECO00490
False,False,True,ECO00491
False,False,True,ECO00492
False,False,True,ECO00493
False,False,True,ECO00494
False,False,True,ECO00495
False,False,True,ECO00496
False,False,True,ECO00497
False,False,True,ECO00498
False,False,True,ECO00499
False,False,True,ECO00500
False,False,True,ECO00501
False,False,True,ECO00502
False,False,True,ECO00503
False,False,True,ECO00504
False,True,False,ECO00505
False,False,True,ECO00506
False,False,True,ECO00508
False,False,True,ECO00509
False,False,True,ECO00511
False,False,True,ECO00512
False,False,True,ECO00513
False,True,False,ECO00515
False,False,True,ECO00516
False,False,True,ECO00517
False,False,True,ECO00518
False,False,True,ECO00519
False,False,True,ECO00520
False,False,True,ECO00521
False,False,True,ECO00523
False,False,True,ECO00524
False,False,True,ECO00525
False,False,True,ECO00526
False,False,True,ECO00527
False,False,True,ECO00528
False,False,True,ECO00529
False,False,True,ECO00530
False,False,True,ECO00531
False,False,True,ECO00532
False,False,True,ECO00534
False,False,True,ECO00536
False,False,True,ECO00537
False,False,True,ECO00538
False,False,True,ECO00540
False,False,True,ECO00541
False,False,True,ECO00542
False,False,True,ECO00543
False,False,True,ECO00544
False,False,True,ECO00545
False,False,True,ECO00546
False,False,True,ECO00547
False,False,True,ECO00548
False,False,True,ECO00549
False,False,True,ECO00550
False,False,True,ECO00551
False,False,True,ECO00552
False,False,True,ECO00553
False,False,True,ECO00555
False,False,True,ECO00556
False,False,True,ECO00558
False,False,True,ECO00559
False,False,True,ECO00560
False,False,True,ECO00561
False,False,True,ECO00562
False,False,True,ECO00563
False,False,True,ECO00565
False,False,True,ECO00567
False,False,True,ECO00568
False,False,True,ECO00569
False,False,True,ECO00570
False,False,True,ECO00571
False,False,True,ECO00572
False,False,True,ECO00573
False,False,True,ECO00574
False,False,True,ECO00575
False,False,True,ECO00577
False,False,True,ECO00579
False,False,True,ECO00581
False,False,True,ECO00583
False,False,True,ECO00584
False,False,True,ECO00585
False,False,True,ECO00586
False,False,True,ECO00587
False,False,True,ECO00588
False,False,True,ECO00589
False,False,True,ECO00590
False,False,True,ECO00591
False,False,True,ECO00592
True,False,False,ECO00593
False,False,True,ECO00594
False,False,True,ECO00595
False,False,True,ECO00596
False,False,True,ECO00597
False,False,True,ECO00598
False,False,True,ECO00599
False,False,True,ECO00600
False,False,True,ECO00601
False,False,True,ECO00602
False,False,True,ECO00603
False,False,True,ECO00604
False,False,True,ECO00606
False,False,True,ECO00607
False,False,True,ECO00608
False,False,True,ECO00609
False,False,True,ECO00610
False,False,True,ECO00611
False,False,True,ECO00612
False,False,True,ECO00613
False,False,True,ECO00614
False,False,True,ECO00615
False,False,True,ECO00616
False,False,True,ECO00617
False,False,True,ECO00620
False,False,True,ECO00622
False,False,True,ECO00623
False,False,True,ECO00624
False,False,True,ECO00625
False,False,True,ECO00626
False,False,True,ECO00627
False,False,True,ECO00628
False,False,True,ECO00629
False,False,True,ECO00630
False,False,True,ECO00631
False,False,True,ECO00632
False,False,True,ECO00633
False,False,True,ECO00634
False,False,True,ECO00635
False,False,True,ECO00636
False,False,True,ECO00637
False,False,True,ECO00638
False,False,True,ECO00639
False,False,True,ECO00642
False,False,True,ECO00643
False,False,True,ECO00644
False,False,True,ECO00645
False,False,True,ECO00646
False,False,True,ECO00647
False,False,True,ECO00648
False,False,True,ECO00650
False,False,True,ECO00651
False,False,True,ECO00652
False,False,True,ECO00653
False,False,True,ECO00655
False,False,True,ECO00656
False,False,True,ECO00657
False,False,True,ECO00658
False,False,True,ECO00659
False,False,True,ECO00661
False,False,True,ECO00662
False,False,True,ECO00663
False,False,True,ECO00664
False,False,True,ECO00665
False,False,True,ECO00667
False,False,True,ECO00668
False,False,True,ECO00669
False,False,True,ECO00670
False,False,True,ECO00671
False,False,True,ECO00672
False,False,True,ECO00673
False,False,True,ECO00674
False,False,True,ECO00675
False,False,True,ECO00676
False,False,True,ECO00677
False,False,True,ECO00678
False,False,True,ECO00679
False,False,True,ECO00681
False,False,True,ECO00682
False,False,True,ECO00683
False,False,True,ECO00684
False,False,True,ECO00685
False,False,True,ECO00686
False,False,True,ECO00687
