name,name,radeg,dedeg,inbarysample,jhu_agnbptonly,jhu_ambigagn,jhu_comp,jhu_conv,jhu_inbptsample,jhu_inbptvosample,jhu_lin,jhu_lowsii,jhu_s06bonus,jhu_sf,jhu_sfagn,jhu_sy,port_agnbptonly,port_ambigagn,port_comp,port_conv,port_inbptsample,port_inbptvosample,port_lin,port_lowsii,port_s06bonus,port_sf,port_sfagn,port_sy,nsa_agnbptonly,nsa_ambigagn,nsa_comp,nsa_conv,nsa_inbptsample,nsa_inbptvosample,nsa_lin,nsa_lowsii,nsa_s06bonus,nsa_sf,nsa_sfagn,nsa_sy
ECO00062,ECO00062,149.134,24.8576,1,0,-999,0,0,1,0,-999,-999,0,1.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
ECO00063,ECO00063,150.56281,25.926,0,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
ECO00064,ECO00064,151.74631000000002,27.6893,0,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
ECO00065,ECO00065,194.56900000000002,27.8026,0,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
ECO00066,ECO00066,155.1642,25.56,1,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
ECO00067,ECO00067,158.0672,25.3387,1,0,-999,0,0,1,0,-999,-999,0,1.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,0,-999,0,0,1,0,-999,-999,0,1.0,-999,-999
ECO00068,ECO00068,161.0847,15.5109,1,0,0,0,0,1,1,0,0,0,1.0,0,0,0,-999,0,0,1,0,-999,-999,0,1.0,-999,-999,0,-999,0,0,1,0,-999,-999,0,1.0,-999,-999
ECO00069,ECO00069,161.70689,26.3085,1,0,0,0,0,1,1,0,0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,1.0,0,0,0,-999,0,0,1,0,-999,-999,0,1.0,-999,-999
ECO00070,ECO00070,163.98689,26.6352,0,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
ECO00071,ECO00071,165.864,24.9114,0,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999,-999,-999,-999,0,0,0,-999,-999,-999,-999.0,-999,-999
