name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
"SJUSHR3625",10.0775,0.0544747,9.67150,0.126108,10.1607,0.00990772
"SJUSHR3626",8.31798,0.0224755,8.12530,0.0355137,8.47750,0.00204754
"SJUSHR3627",9.76837,4.57306,10.9563,0.0604210,11.2518,0.0277510
"SJUSHR3628",10.3487,0.101716,7.75341,0.172475,10.4171,0.0154066
"SJUSHR3629",11.1854,0.0692699,10.3109,0.0758428,11.2159,0.0297575
"SJUSHR363",5.59424,0.0197227,5.96436,0.0990054,6.29287,0.000366211
"SJUSHR3630",0.00000,0.00000,0.00000,0.00000,-NaN,NaN
"SJUSHR3631",8.61813,0.0318602,8.47587,0.0364569,8.76145,0.00269222
"SJUSHR3632",9.05609,0.0669529,8.94127,0.103768,9.47709,0.00297546
"SJUSHR3633",0.00000,0.00000,9.16794,0.193949,10.5330,0.0220385
"SJUSHR3634",6.49259,0.00660832,6.51259,0.0241398,6.53727,0.000560760
"SJUSHR3635",11.9405,1.00000e+33,10.0150,0.487150,11.9392,0.0509195
"SJUSHR3636",9.10054,0.0321620,9.06916,0.0915222,9.14446,0.00505829
"SJUSHR3637",8.37573,0.0205106,8.35025,0.0153036,8.41935,0.00276852
"SJUSHR3638",0.00000,0.00000,10.3571,0.0108566,10.3052,0.00951004
"SJUSHR3639",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR364",9.45521,0.0412695,9.40800,0.0176191,9.56296,0.00511646
"SJUSHR3640",8.01819,0.00388270,7.92277,0.0474699,8.02911,0.00216675
"SJUSHR3641",9.66691,0.0982990,9.45415,0.00913098,9.82082,0.00670338
"SJUSHR3642",9.73521,0.0313320,9.54163,0.0311027,9.80693,0.00801849
"SJUSHR3643",8.98906,0.0318668,8.88221,0.0455668,9.13207,0.00376225
"SJUSHR3644",8.26494,0.0244576,8.00308,0.0385470,8.40562,0.00229740
"SJUSHR3645",8.64206,0.0251690,8.62435,0.0213560,8.70387,0.00383091
"SJUSHR3646",9.27806,0.0923897,9.36530,0.00494914,9.52553,0.00578880
